,Systematic name,RNA pol II  presence (per gene),TR indirect (mol/hour),TR (mol/hour)
739,YCR094W,0.0408,2.8739999999999997,3.126
740,YCR095C,,5.9879999999999995,
741,YCR095W-A,,,
742,YCR096C,0.0203,,5.082
743,YCR097W,,23.622,
744,YCR097W-A,,,
745,YCR098C,,0.174,
746,YCR099C,,0.42600000000000005,
747,YCR100C,0.039,,3.696
748,YCR101C,0.0239,0.174,3.93
749,YCR102C,,,
750,YCR102W-A,,,
751,YCR104W,0.0035,,0.828
752,YCR105W,,,
753,YCR106W,,,
754,YCR107W,,,
755,YCR108C,,,
756,YDL001W,0.0596,3.198,4.152
757,YDL002C,0.1369,1.482,20.166
758,YDL003W,0.1861,2.322,9.852
759,YDL004W,0.022,23.880000000000003,4.11
760,YDL005C,0.0613,6.138,4.26
761,YDL006W,0.0753,3.264,8.016
762,YDL007C-A,,,
763,YDL007W,0.1259,28.602,8.634
764,YDL008W,0.0576,1.3980000000000001,10.434
765,YDL009C,,,
766,YDL010W,0.04,,5.184
767,YDL011C,0.0343,,9.546
768,YDL012C,0.0479,,10.542
769,YDL013W,0.1927,,9.33
770,YDL014W,0.0849,59.802,7.7700000000000005
771,YDL015C,0.068,17.358,6.564
772,YDL016C,0.0213,,6.3420000000000005
773,YDL017W,,,
774,YDL018C,0.0192,8.076,2.5500000000000003
775,YDL019C,0.276,,6.45
776,YDL020C,0.8441,7.758,47.628
777,YDL021W,0.0407,,3.9179999999999997
778,YDL022C-A,,,
779,YDL022W,0.4779,7.343999999999999,36.606
780,YDL023C,0.1023,,28.764
781,YDL024C,0.018,0.552,1.1580000000000001
782,YDL025C,0.1051,,5.082
783,YDL025W-A,,,
784,YDL026W,,,
785,YDL027C,0.0605,1.482,4.314
786,YDL028C,0.1643,,6.45
787,YDL029W,0.1114,14.79,7.722
788,YDL030W,,,
789,YDL031W,,3.624,
790,YDL032W,,,
791,YDL033C,0.4547,3.4379999999999997,32.658
792,YDL034W,0.0214,,5.61
793,YDL035C,0.2669,,8.322
794,YDL036C,,1.41,
795,YDL037C,0.3639,1.248,33.216
796,YDL038C,,,
797,YDL039C,,1.728,
798,YDL040C,0.271,14.112,9.51
799,YDL041W,,,
800,YDL042C,0.0816,2.208,4.35
801,YDL043C,0.0375,,4.218
802,YDL044C,0.1328,0.36,9.036000000000001
803,YDL045C,0.0552,5.508,5.3999999999999995
804,YDL045W-A,0.0229,4.5,7.188000000000001
805,YDL046W,0.0648,10.110000000000001,11.202
806,YDL047W,0.2444,6.018,23.532
807,YDL048C,,4.644,
808,YDL049C,0.043,,4.8
809,YDL050C,,,
810,YDL051W,,,
811,YDL052C,,7.482,
812,YDL053C,0.0461,14.466000000000001,7.4399999999999995
813,YDL054C,,3.7199999999999998,
814,YDL055C,0.7376,406.968,61.182
815,YDL056W,0.1986,3.48,7.146
816,YDL057W,0.0734,2.832,6.702
817,YDL058W,,2.538,
818,YDL059C,,,
819,YDL060W,0.3257,7.35,12.389999999999999
820,YDL061C,0.0241,182.376,12.774000000000001
821,YDL062W,0.0393,0.132,8.334
822,YDL063C,0.1624,,7.848
823,YDL064W,,7.343999999999999,
824,YDL065C,0.1684,9.516,14.742
825,YDL066W,0.0532,5.994,3.726
826,YDL067C,,,
827,YDL068W,0.0147,,4.032
828,YDL069C,0.0234,6.348000000000001,3.0599999999999996
829,YDL070W,0.658,37.272,30.906
830,YDL071C,0.0382,0.378,9.198
831,YDL072C,0.0881,16.956,12.972
832,YDL073W,0.16,9.882000000000001,4.878
833,YDL074C,0.2634,25.86,11.28
834,YDL075W,0.3068,230.892,36.24
835,YDL076C,0.0631,2.784,6.42
836,YDL077C,,1.752,
837,YDL078C,0.1627,8.574,14.202
838,YDL079C,0.0751,0.348,3.7620000000000005
839,YDL080C,0.0766,1.302,3.768
840,YDL081C,0.0956,245.478,26.898
841,YDL082W,0.2586,51.977999999999994,24.144
842,YDL083C,0.3636,,37.92
843,YDL084W,0.1426,26.232,9.575999999999999
844,YDL085C-A,,,
845,YDL085W,0.048,0.42600000000000005,2.6399999999999997
846,YDL086C-A,,,
847,YDL086W,0.0774,10.806000000000001,8.484
848,YDL087C,0.0659,,7.5600000000000005
849,YDL088C,0.2979,4.338,16.908
850,YDL089W,0.0375,3.696,2.322
851,YDL090C,,4.782,
852,YDL091C,0.0643,,4.236
853,YDL092W,0.0634,26.028000000000002,12.972
854,YDL093W,0.0724,2.094,2.916
855,YDL094C,0.0122,,2.1599999999999997
856,YDL095W,0.3823,,14.022
857,YDL096C,0.0575,,15.882
858,YDL097C,0.3523,26.837999999999997,24.317999999999998
859,YDL098C,0.0392,1.134,6.042
860,YDL099W,0.1737,6.906,15.251999999999999
861,YDL100C,0.2121,30.78,17.939999999999998
862,YDL101C,0.0974,,5.688
863,YDL102W,,0.444,
864,YDL103C,0.0922,8.196,5.79
865,YDL104C,0.1071,,7.8839999999999995
866,YDL105W,0.1205,,8.976
867,YDL106C,0.0941,1.302,5.045999999999999
868,YDL107W,0.1144,,9.756
869,YDL108W,0.1364,2.628,12.258000000000001
870,YDL109C,,0.684,
871,YDL110C,0.088,5.628,17.526000000000003
872,YDL111C,0.069,,7.794
873,YDL112W,0.4318,,9.017999999999999
874,YDL113C,0.1005,2.7119999999999997,4.71
875,YDL114W,,0.318,
876,YDL114W-A,,,
877,YDL115C,,2.244,
878,YDL116W,0.1512,3.246,6.239999999999999
879,YDL117W,0.2901,1.884,9.828
880,YDL118W,0.015,,3.552
881,YDL119C,0.0532,2.508,5.184
882,YDL120W,0.0268,15.101999999999999,4.596
883,YDL121C,0.022,,4.41
884,YDL122W,,11.664,
885,YDL123W,0.0443,,9.456
886,YDL124W,0.0721,,6.924
887,YDL125C,0.1424,19.38,21.84
888,YDL126C,1.1604,24.726000000000003,41.658
889,YDL127W,0.067,0.912,6.516
890,YDL128W,0.1487,17.394,10.842
891,YDL129W,0.0808,,8.31
892,YDL130W,0.205,63.396,29.706
893,YDL130W-A,,,
894,YDL131W,,20.567999999999998,
895,YDL132W,0.2156,2.604,7.932
896,YDL133C-A,,,
897,YDL133W,,3.324,
898,YDL134C,0.1905,11.022,15.456
899,YDL135C,0.0529,6.090000000000001,7.835999999999999
900,YDL136W,0.2172,62.442,25.488
901,YDL137W,0.1007,50.388,16.632
902,YDL138W,,2.436,
903,YDL139C,0.0404,1.0799999999999998,5.4239999999999995
904,YDL140C,,5.6339999999999995,
905,YDL141W,0.1078,1.608,4.68
906,YDL142C,,1.9559999999999997,
907,YDL143W,0.2542,44.910000000000004,14.424
908,YDL144C,0.1417,0.9840000000000001,11.916
909,YDL145C,0.3333,5.382,8.322
910,YDL146W,0.0878,1.5299999999999998,5.3580000000000005
911,YDL147W,0.3771,26.322,25.386
912,YDL148C,0.2124,3.624,7.86
913,YDL149W,,1.626,
914,YDL150W,0.0807,,5.73
915,YDL151C,,,
916,YDL152W,,0.276,
917,YDL153C,0.3609,12.468,17.73
918,YDL154W,0.0823,0.5940000000000001,2.736
919,YDL155W,0.0676,2.826,4.746
920,YDL156W,,,
921,YDL157C,,,
922,YDL158C,,,
923,YDL159C-B,,,
924,YDL159W,0.077,,4.482
925,YDL159W-A,,,
926,YDL160C,,2.964,
927,YDL160C-A,,,
928,YDL161W,0.2141,,14.129999999999999
929,YDL162C,0.009,0.072,2.28
930,YDL163W,,,
931,YDL164C,0.1589,1.8780000000000001,6.312
932,YDL165W,0.0363,,5.682
933,YDL166C,0.0795,7.176,12.066
934,YDL167C,0.3327,10.290000000000001,13.872
935,YDL168W,0.132,7.973999999999999,10.236
936,YDL169C,,,
937,YDL170W,,1.092,
938,YDL171C,0.8312,6.090000000000001,11.622
939,YDL172C,0.0427,,8.022
940,YDL173W,0.107,,10.86
941,YDL174C,0.1971,5.232,10.062
942,YDL175C,0.1229,1.6199999999999999,10.697999999999999
943,YDL176W,0.0963,,4.074
944,YDL177C,0.029,,5.1000000000000005
945,YDL178W,0.1576,,8.91
946,YDL179W,0.1114,0.834,10.968
947,YDL180W,0.0513,3.39,2.8080000000000003
948,YDL181W,0.021,4.284000000000001,7.368
949,YDL182W,0.2953,16.770000000000003,20.669999999999998
950,YDL183C,0.0265,,2.478
951,YDL184C,,,
952,YDL185C-A,,,
953,YDL185W,0.5642,20.7,15.792
954,YDL186W,0.0975,0.6,10.53
955,YDL187C,0.0284,,7.776
956,YDL188C,0.1348,3.4379999999999997,10.704
957,YDL189W,,8.261999999999999,
958,YDL190C,0.1269,,3.96
959,YDL191W,0.3062,66.474,32.304
960,YDL192W,0.1255,114.63600000000001,20.718
961,YDL193W,0.0893,4.074,7.134
962,YDL194W,0.048,0.99,1.626
963,YDL195W,0.3619,2.346,8.526
964,YDL196W,,0.198,
965,YDL197C,,,
966,YDL198C,,63.744,
967,YDL199C,0.0287,0.264,1.248
968,YDL200C,,,
969,YDL201W,0.0544,,5.694
970,YDL202W,0.0518,6.378,6.228
971,YDL203C,0.1206,,5.802
972,YDL204W,0.0486,0.63,3.702
973,YDL205C,0.1068,0.8999999999999999,9.780000000000001
974,YDL206W,0.0352,,1.38
975,YDL207W,0.1587,3.27,8.838
976,YDL208W,0.1457,60.306000000000004,27.906000000000002
977,YDL209C,0.1743,,15.395999999999999
978,YDL210W,0.0505,,2.652
979,YDL211C,0.065,,5.226
980,YDL212W,,15.395999999999999,
981,YDL213C,0.0753,9.036000000000001,10.008000000000001
982,YDL214C,,,
983,YDL215C,0.2944,2.3760000000000003,8.081999999999999
984,YDL216C,0.0944,,6.432
985,YDL217C,0.0435,1.962,6.282
986,YDL218W,0.0222,0.38999999999999996,2.094
987,YDL219W,0.022,5.159999999999999,3.786
988,YDL220C,0.1482,,4.811999999999999
989,YDL221W,0.0534,,8.718
990,YDL222C,0.018,0.084,1.746
991,YDL223C,0.2129,,6.102
992,YDL224C,0.1666,0.8999999999999999,7.692
993,YDL225W,0.1255,35.046,6.822
994,YDL226C,0.2008,4.061999999999999,17.082
995,YDL227C,,,
996,YDL228C,,,
997,YDL229W,0.2735,,13.368
998,YDL230W,0.1207,4.716,10.782
999,YDL231C,0.2696,2.9280000000000004,7.188000000000001
1000,YDL232W,,26.471999999999998,
1001,YDL233W,0.0535,0.912,3.4979999999999998
1002,YDL234C,,3.708,
1003,YDL235C,0.0402,10.146,7.194000000000001
1004,YDL236W,0.1004,32.495999999999995,9.636
1005,YDL237W,0.0996,8.574,7.65
1006,YDL238C,0.084,,5.148
1007,YDL239C,0.0628,0.906,2.382
1008,YDL240C-A,,,
1009,YDL240W,,,
1010,YDL241W,0.0601,,14.574
1011,YDL242W,0.0127,0.15,3.246
1012,YDL243C,0.0908,,8.268
1013,YDL244W,0.0342,,3.012
1014,YDL245C,0.0218,,1.152
1015,YDL246C,0.0444,,3.726
1016,YDL247W,0.0435,,2.136
1017,YDL247W-A,,,
1018,YDL248W,,,
1019,YDR001C,,,
1020,YDR002W,0.2009,45.978,29.88
1021,YDR003W,0.0497,,7.074
1022,YDR003W-A,,,
1023,YDR004W,0.0887,,5.771999999999999
1024,YDR005C,0.1347,,9.564
1025,YDR006C,0.2989,4.992,9.948
1026,YDR007W,0.0325,,4.344
1027,YDR008C,0.0292,,7.5
1028,YDR009W,0.0462,,2.658
1029,YDR010C,0.0089,,2.4
1030,YDR011W,,11.538,
1031,YDR012W,,206.418,
1032,YDR013W,,6.942,
1033,YDR014W,,0.63,
1034,YDR014W-A,,,
1035,YDR015C,0.0034,,1.284
1036,YDR016C,,3.186,
1037,YDR017C,0.4782,5.712000000000001,13.65
1038,YDR018C,0.0629,0.7799999999999999,4.758
1039,YDR019C,0.1137,,8.514
1040,YDR020C,0.0531,,6.845999999999999
1041,YDR021W,0.0901,,6.768
1042,YDR022C,0.0252,,3.8519999999999994
1043,YDR023W,0.2485,39.629999999999995,16.116
1044,YDR024W,,,
1045,YDR025W,0.1768,158.094,19.668
1046,YDR026C,0.2031,,10.68
1047,YDR027C,0.1216,1.0739999999999998,4.104
1048,YDR028C,,4.212,
1049,YDR029W,,0.228,
1050,YDR030C,,0.8220000000000001,
1051,YDR031W,,8.190000000000001,
1052,YDR032C,0.0312,10.937999999999999,4.71
1053,YDR033W,0.3385,54.312,31.668000000000003
1054,YDR034C,0.1769,3.9719999999999995,6.714
1055,YDR034C-A,,,
1056,YDR034W-B,,,
1057,YDR035W,0.169,12.366,13.68
1058,YDR036C,,1.7040000000000002,
1059,YDR037W,0.6107,35.58,30.966
1060,YDR038C,,1.062,
1061,YDR039C,0.1967,,5.406
1062,YDR040C,,,
1063,YDR041W,0.0465,8.202,6.851999999999999
1064,YDR042C,,0.06,
1065,YDR043C,0.0683,,8.844
1066,YDR044W,0.1979,29.094,18.066
1067,YDR045C,0.0465,26.526,12.612
1068,YDR046C,0.3797,135.822,18.84
1069,YDR047W,0.3035,21.744,25.104
1070,YDR048C,,1.2,
1071,YDR049W,0.1294,4.055999999999999,6.132
1072,YDR050C,0.4289,340.60200000000003,51.744
1073,YDR051C,0.1602,2.754,14.364
1074,YDR052C,,,
1075,YDR053W,0.0205,,4.667999999999999
1076,YDR054C,0.1305,5.934,13.242
1077,YDR055W,0.1356,14.028,9.144
1078,YDR056C,0.0573,9.953999999999999,8.363999999999999
1079,YDR057W,0.0804,,4.4399999999999995
1080,YDR058C,0.0171,1.17,1.572
1081,YDR059C,0.0191,5.64,3.198
1082,YDR060W,,,
1083,YDR061W,0.2288,9.036000000000001,12.719999999999999
1084,YDR062W,0.1901,10.812,10.152
1085,YDR063W,0.0415,3.5940000000000003,8.322
1086,YDR064W,1.4079,130.734,127.476
1087,YDR065W,0.1397,,11.46
1088,YDR066C,,2.322,
1089,YDR067C,0.0386,2.3939999999999997,5.154
1090,YDR068W,0.0942,7.536,9.096
1091,YDR069C,0.1252,,4.055999999999999
1092,YDR070C,,,
1093,YDR071C,0.0616,42.762,9.642000000000001
1094,YDR072C,0.2624,6.348000000000001,14.915999999999999
1095,YDR073W,0.1082,,19.128
1096,YDR074W,0.2428,,8.123999999999999
1097,YDR075W,0.0405,2.1599999999999997,3.93
1098,YDR076W,0.0637,,4.704
1099,YDR077W,0.4598,70.776,40.733999999999995
1100,YDR078C,0.037,1.386,4.962
1101,YDR079C-A,,,
1102,YDR079W,0.0293,4.098,7.86
1103,YDR080W,,3.2760000000000002,
1104,YDR081C,0.1954,2.4059999999999997,6.33
1105,YDR082W,0.0635,1.236,3.8519999999999994
1106,YDR083W,0.1506,,11.502
1107,YDR084C,0.0183,6.672,2.754
1108,YDR085C,0.067,2.262,3.2399999999999998
1109,YDR086C,0.03,186.114,11.172
1110,YDR087C,0.1171,7.4399999999999995,12.612
1111,YDR088C,0.1403,,11.004000000000001
1112,YDR089W,0.1002,,3.456
1113,YDR090C,0.0564,3.894,5.442
1114,YDR091C,0.2158,9.858,10.632
1115,YDR092W,0.1358,14.49,16.764
1116,YDR093W,0.2516,,4.68
1117,YDR094W,0.0448,,12.036
1118,YDR095C,,,
1119,YDR096W,0.1173,2.2560000000000002,3.9360000000000004
1120,YDR097C,0.2251,,5.436
1121,YDR098C,0.0472,24.036,4.956
1122,YDR099W,0.0636,27.588,6.965999999999999
1123,YDR100W,0.0217,20.729999999999997,4.536
1124,YDR101C,0.2152,11.453999999999999,10.872
1125,YDR102C,,0.108,
1126,YDR103W,,,
1127,YDR104C,0.1285,,3.096
1128,YDR105C,0.0686,5.279999999999999,4.344
1129,YDR106W,0.0298,0.15,3.138
1130,YDR107C,0.0564,,2.514
1131,YDR108W,0.0839,0.672,3.606
1132,YDR109C,,,
1133,YDR110W,0.192,0.49200000000000005,10.164
1134,YDR111C,0.0883,,5.22
1135,YDR112W,0.0161,,4.716
1136,YDR113C,0.1041,,8.358
1137,YDR114C,,0.46799999999999997,
1138,YDR115W,0.0373,6.426,10.602
1139,YDR116C,0.0774,8.111999999999998,8.136
1140,YDR117C,0.0713,2.8859999999999997,3.7800000000000002
1141,YDR118W,0.1043,,4.794
1142,YDR118W-A,,,
1143,YDR119W,0.2268,9.3,8.85
1144,YDR119W-A,,,
1145,YDR120C,0.1442,9.623999999999999,7.577999999999999
1146,YDR121W,0.0548,7.4879999999999995,8.363999999999999
1147,YDR122W,0.1974,3.7620000000000005,5.562
1148,YDR123C,,,
1149,YDR124W,0.028,0.846,2.586
1150,YDR125C,0.0414,,2.736
1151,YDR126W,0.1164,0.444,10.374
1152,YDR127W,0.3989,3.9179999999999997,7.53
1153,YDR128W,0.2834,,7.404
1154,YDR129C,0.298,15.534,13.152000000000001
1155,YDR130C,0.0606,2.0700000000000003,6.234
1156,YDR131C,0.0295,2.1420000000000003,1.5899999999999999
1157,YDR132C,0.1097,1.068,6.642
1158,YDR133C,0.0935,,25.128
1159,YDR135C,,9.222,
1160,YDR136C,,0.09,
1161,YDR137W,0.1202,7.3020000000000005,5.436
1162,YDR138W,,,
1163,YDR139C,,5.64,
1164,YDR140W,0.0476,,6.438000000000001
1165,YDR141C,,,
1166,YDR142C,0.1188,1.134,9.485999999999999
1167,YDR143C,0.2411,0.906,11.844
1168,YDR144C,0.1188,,5.970000000000001
1169,YDR145W,0.3437,6.2459999999999996,19.104
1170,YDR146C,0.1225,3.564,5.178
1171,YDR147W,,,
1172,YDR148C,0.0865,7.805999999999999,5.598
1173,YDR149C,0.0326,,4.158
1174,YDR150W,0.7355,,8.028
1175,YDR151C,0.1524,21.594,14.033999999999999
1176,YDR152W,0.1644,,18.564
1177,YDR153C,0.2696,,19.644000000000002
1178,YDR154C,0.1048,549.978,26.934
1179,YDR155C,0.0721,,13.290000000000001
1180,YDR156W,0.139,,30.288
1181,YDR157W,0.0519,,11.652000000000001
1182,YDR158W,0.2492,,20.448
1183,YDR159W,,,
1184,YDR160W,0.097,,3.414
1185,YDR161W,0.2068,,16.002
1186,YDR162C,0.0386,,4.890000000000001
1187,YDR163W,0.0428,,7.3020000000000005
1188,YDR164C,0.0984,,4.074
1189,YDR165W,,,
1190,YDR166C,0.1504,0.606,4.644
1191,YDR167W,0.0652,9.588,9.468
1192,YDR168W,0.1814,4.5,10.74
1193,YDR169C,0.1691,1.662,9.876
1194,YDR169C-A,,,
1195,YDR170C,0.5247,7.848,7.83
1196,YDR171W,,,
1197,YDR172W,0.6043,14.975999999999999,26.436
1198,YDR173C,0.1617,1.0139999999999998,13.638
1199,YDR174W,0.1959,45.228,23.826
1200,YDR175C,0.1108,13.014000000000001,10.404
1201,YDR176W,0.2735,3.4259999999999997,11.676
1202,YDR177W,0.0471,35.778000000000006,6.546
1203,YDR178W,0.0151,12.774000000000001,2.49
1204,YDR179C,0.0124,2.136,2.292
1205,YDR179W-A,,2.352,
1206,YDR180W,,4.553999999999999,
1207,YDR181C,0.0919,4.176,5.724
1208,YDR182W,0.1552,,9.474
1209,YDR182W-A,,,
1210,YDR183C-A,,,
1211,YDR183W,0.0433,3.234,5.6339999999999995
1212,YDR184C,,,
1213,YDR185C,0.069,2.2560000000000002,11.52
1214,YDR186C,,,
1215,YDR187C,0.2234,0.264,38.808
1216,YDR188W,0.4803,29.592000000000002,26.358
1217,YDR189W,0.1576,6.851999999999999,7.092
1218,YDR190C,0.2784,36.582,18.018
1219,YDR191W,0.0572,,4.626
1220,YDR192C,0.1196,1.4280000000000002,8.328000000000001
1221,YDR193W,0.0225,,5.076
1222,YDR194C,0.2628,20.610000000000003,11.861999999999998
1223,YDR194W-A,,,
1224,YDR195W,,,
1225,YDR196C,0.0775,,9.612
1226,YDR197W,0.0776,,5.970000000000001
1227,YDR198C,0.07,,4.38
1228,YDR199W,,,
1229,YDR200C,0.0827,,4.104
1230,YDR201W,0.0238,,4.314
1231,YDR202C,0.1302,,11.106
1232,YDR203W,0.0187,,5.298
1233,YDR204W,0.14,1.512,12.516
1234,YDR205W,,0.8999999999999999,
1235,YDR206W,0.1685,2.214,5.712000000000001
1236,YDR207C,0.15,2.7960000000000003,5.376
1237,YDR208W,0.3001,,11.543999999999999
1238,YDR209C,0.0737,,16.067999999999998
1239,YDR210W,0.0701,,27.773999999999997
1240,YDR211W,0.2881,5.184,12.126
1241,YDR212W,0.1707,,9.15
1242,YDR213W,,,
1243,YDR214W,0.3619,2.3760000000000003,30.966
1244,YDR215C,,0.06,
1245,YDR216W,0.0906,0.84,2.052
1246,YDR217C,0.1877,5.73,4.302
1247,YDR218C,0.0144,,1.02
1248,YDR219C,,,
1249,YDR220C,,,
1250,YDR221W,0.1664,1.518,7.104
1251,YDR222W,0.0505,2.424,3.642
1252,YDR223W,0.0495,,3.1740000000000004
1253,YDR224C,0.2443,219.612,55.674
1254,YDR225W,0.2913,226.968,65.88000000000001
1255,YDR226W,0.1608,52.92,21.672
1256,YDR227W,0.2897,2.49,6.396
1257,YDR228C,,2.214,
1258,YDR229W,0.1654,,10.937999999999999
1259,YDR230W,0.0165,,4.2780000000000005
1260,YDR231C,0.0241,,3.5100000000000002
1261,YDR232W,0.3561,6.378,19.47
1262,YDR233C,0.1683,34.5,17.076
1263,YDR234W,0.1885,3.1919999999999997,8.154
1264,YDR235W,,,
1265,YDR236C,0.0292,,4.002
1266,YDR237W,0.0484,5.406,4.962
1267,YDR238C,,7.914,
1268,YDR239C,,1.488,
1269,YDR240C,,3.54,
1270,YDR241W,,,
1271,YDR242W,0.1325,,7.2299999999999995
1272,YDR243C,0.115,,5.862
1273,YDR244W,,0.096,
1274,YDR245W,,7.6979999999999995,
1275,YDR246W,,1.6380000000000001,
1276,YDR246W-A,,,
1277,YDR247W,,0.924,
1278,YDR248C,0.0462,8.706,7.158
1279,YDR249C,0.0912,,7.326
1280,YDR250C,,,
1281,YDR251W,0.2103,5.076,7.595999999999999
1282,YDR252W,,0.75,
1283,YDR253C,0.0327,10.314,5.118
1284,YDR254W,0.0657,,4.302
1285,YDR255C,0.059,,4.2
1286,YDR256C,0.0972,,5.652
1287,YDR257C,0.1918,0.906,11.633999999999999
1288,YDR258C,,,
1289,YDR259C,,,
1290,YDR260C,0.0595,0.7320000000000001,10.464
1291,YDR261C,0.1472,3.402,7.848
1292,YDR262W,0.0601,2.19,6.606
1293,YDR263C,,,
1294,YDR264C,0.5426,9.882000000000001,21.288
1295,YDR265W,0.1259,1.83,11.19
1296,YDR266C,0.1573,3.528,7.38
1297,YDR267C,0.1315,10.158000000000001,11.934
1298,YDR268W,0.0956,2.172,7.554
1299,YDR269C,,,
1300,YDR270W,,,
1301,YDR271C,0.038,,9.222
1302,YDR272W,0.0702,9.174000000000001,7.668
1303,YDR273W,0.0643,0.294,5.274
1304,YDR274C,0.1296,,31.44
1305,YDR275W,0.1701,,21.648
1306,YDR276C,,177.28199999999998,
1307,YDR277C,0.1942,0.576,13.434
1308,YDR278C,,,
1309,YDR279W,0.1041,,8.904
1310,YDR280W,0.1152,,11.304
1311,YDR281C,0.0373,,10.68
1312,YDR282C,0.0323,0.546,2.34
1313,YDR283C,,,
1314,YDR284C,0.0551,9.953999999999999,5.7
1315,YDR285W,,,
1316,YDR286C,,,
1317,YDR287W,0.0219,,2.244
1318,YDR288W,0.0951,7.482,9.39
1319,YDR289C,0.1449,11.304,10.608
1320,YDR290W,,,
1321,YDR291W,,1.7999999999999998,
1322,YDR292C,0.19,27.366,9.168
1323,YDR293C,0.471,7.518,11.298
1324,YDR294C,0.3351,4.6739999999999995,17.052
1325,YDR295C,0.1249,,5.55
1326,YDR296W,,,
1327,YDR297W,0.2667,17.825999999999997,22.884
1328,YDR298C,,18.732,
1329,YDR299W,0.3436,8.484,19.278
1330,YDR300C,,3.558,
1331,YDR301W,0.2344,,5.178
1332,YDR302W,0.0136,2.28,1.8599999999999999
1333,YDR303C,0.0942,1.812,3.1919999999999997
1334,YDR304C,0.0579,17.784,7.703999999999999
1335,YDR305C,0.0564,,6.84
1336,YDR306C,0.0591,,3.702
1337,YDR307W,0.0729,,3.3
1338,YDR308C,0.0243,5.73,5.178
1339,YDR309C,0.1293,15.366,10.116
1340,YDR310C,,,
1341,YDR311W,0.1935,,9.03
1342,YDR312W,0.1202,9.42,7.95
1343,YDR313C,0.0656,1.512,6.864
1344,YDR314C,0.1187,,5.1419999999999995
1345,YDR315C,0.0224,0.768,2.388
1346,YDR316W,0.1581,1.332,10.056
1347,YDR317W,0.0267,,1.9380000000000002
1348,YDR318W,0.0532,,4.026000000000001
1349,YDR319C,0.0669,,7.3020000000000005
1350,YDR320C,0.1185,,5.316
1351,YDR320C-A,0.0385,,15.887999999999998
1352,YDR320W-B,,,
1353,YDR321W,0.1066,11.508,8.376
1354,YDR322C-A,,,
1355,YDR322W,0.1269,,10.356
1356,YDR323C,0.0522,,3.036
1357,YDR324C,0.3761,,14.526
1358,YDR325W,0.2097,,6.072
1359,YDR326C,0.5345,,11.142
1360,YDR327W,0.022,,6.078
1361,YDR328C,0.0764,,11.766
1362,YDR329C,0.0545,,3.702
1363,YDR330W,0.0822,,4.926
1364,YDR331W,0.0529,,3.8579999999999997
1365,YDR332W,0.0884,,3.846
1366,YDR333C,0.1484,,6.1499999999999995
1367,YDR334W,0.642,,12.714
1368,YDR335W,0.4762,,11.664
1369,YDR336W,0.0566,,5.3999999999999995
1370,YDR337W,0.1192,5.028,12.479999999999999
1371,YDR338C,0.093,,4.008
1372,YDR339C,0.0562,,8.886000000000001
1373,YDR340W,,,
1374,YDR341C,0.3741,10.559999999999999,18.474
1375,YDR342C,0.0553,,2.91
1376,YDR343C,,,
1377,YDR344C,0.0241,0.132,4.901999999999999
1378,YDR345C,0.3503,29.928,18.509999999999998
1379,YDR346C,0.2537,30.66,15.804000000000002
1380,YDR347W,0.0775,10.692,7.223999999999999
1381,YDR348C,0.2585,,15.516
1382,YDR349C,0.1541,,7.7459999999999996
1383,YDR350C,0.1188,,5.8260000000000005
1384,YDR351W,0.2389,,8.286
1385,YDR352W,0.1496,,14.129999999999999
1386,YDR353W,0.1794,51.996,16.836000000000002
1387,YDR354C-A,,,
1388,YDR354W,0.0777,14.219999999999999,6.1259999999999994
1389,YDR355C,,,
1390,YDR356W,,1.506,
1391,YDR357C,,,
1392,YDR358W,0.134,0.432,7.2059999999999995
1393,YDR359C,0.2468,1.842,7.536
1394,YDR360W,0.0195,,4.548
1395,YDR361C,0.0786,9.803999999999998,8.31
1396,YDR362C,0.1242,,5.537999999999999
1397,YDR363W,,,
1398,YDR363W-A,,,
1399,YDR364C,,,
1400,YDR365C,,57.672000000000004,
1401,YDR366C,0.0059,,1.344
1402,YDR367W,0.0212,10.314,2.49
1403,YDR368W,,2.778,
1404,YDR369C,0.0725,,2.544
1405,YDR370C,,,
1406,YDR371C-A,,,
1407,YDR371W,0.0908,7.595999999999999,5.322
1408,YDR372C,0.1556,,13.5
1409,YDR373W,0.0526,9.474,8.280000000000001
1410,YDR374C,,,
1411,YDR374W-A,,,
1412,YDR375C,0.0764,,5.016
1413,YDR376W,,,
1414,YDR377W,,13.608,
1415,YDR378C,0.0309,,10.704
1416,YDR379C-A,,,
1417,YDR379W,,,
1418,YDR380W,,,
1419,YDR381C-A,0.0388,,6.497999999999999
1420,YDR381W,,,
1421,YDR382W,0.2488,152.17800000000003,67.452
1422,YDR383C,0.0528,,6.636
1423,YDR384C,0.0412,4.212,4.488
1424,YDR385W,0.5051,,17.982000000000003
1425,YDR386W,0.0855,,4.055999999999999
1426,YDR387C,0.0761,2.016,4.11
1427,YDR388W,0.2031,7.085999999999999,12.624
1428,YDR389W,0.2025,,9.282
1429,YDR390C,0.1157,22.182,5.454
1430,YDR391C,0.0787,,10.152
1431,YDR392W,0.1506,,13.38
1432,YDR393W,,3.954,
1433,YDR394W,0.2014,23.201999999999998,14.094
1434,YDR395W,0.3473,5.724,11.027999999999999
1435,YDR396W,0.1178,,21.204
1436,YDR397C,0.245,,41.448
1437,YDR398W,0.3831,13.187999999999999,17.855999999999998
1438,YDR399W,0.1884,,25.5
